,These columns are filled during HW04 part a,,,,,,,These columns are filled during HW04 part b,,,
,Only insert additional rows - do NOT insert columns.,,,,,,,,,,
,Use in-cell comments or footnotes if you need more space to explain things.,,,,,,,,,,
,,,,FU1: Glass bottle,,,,,,,
,LCA stage,Contribution,Contribution type,Amount per FU,unit,Data type,Source & method,EF,unit,Source & rationale,GHG [gram CO2e]
,S1 - Packaging materials,Shrink wrap,material,0.515,gram,primary,Ben and Jerry's SEAR report 2011. Polyethylene single use.,2.66,kg C02e per kg material,"Ecoinvent2p0 Row 2620 Dataset 1854, European RER - packaging film, LDPE, at plant",1.370 
,,Stretch wrap ,material,0.258,gram,primary,Ben and Jerry's SEAR report 2011. Polyethylene single use.,2.66,kg C02e per kg material,"Ecoinvent2p0 Row 2620 Dataset 1854, European RER - packaging film, LDPE, at plant",0.685 
,,Containers,material,14.008,gram,primary,Ben and Jerry's SEAR report 2011. Riverwood's SUS (solid unbleached sulphate) coated dairyman grade board.  ,0.914,kg C02e per kg material,"Ecoinvent2p0 Row 2451 Dataset 1704, European RER - solid unbleached board, SUB, at plant",12.803 
,,Lids,material,7.725,gram,primary,Ben and Jerry's SEAR report 2011. Riverwood's SUS (solid unbleached sulphate) coated dairyman grade board.  ,0.914,kg C02e per kg material,"Ecoinvent2p0 Row 2451 Dataset 1704, European RER - solid unbleached board, SUB, at plant",7.061 
,,Tamperband,material,1.03,gram,primary,Ben and Jerry's SEAR report 2011. ,2.66,kg C02e per kg material,"Ecoinvent2p0 Row 2620 Dataset 1854, European RER - packaging film, LDPE, at plant",2.740 
,,Slip Sheet (plastic pallet),material,0.014,gram,primary,"Ben and Jerry's SEAR report 2011. 1637 CHEP pallets. Re-used 1000 times. Virgin polypropylene. 22 kg, 1637 pints on a one ton pallet. Re-used 1000 times http://pdf.directindustry.com/pdf/chep-international/p1210b-plastic-pallet-with-lips/9309-250317-_2.html",3.28,kg C02e per kg material,"Using Ecoinvent2p0 1834 polypropylene, granulate, at plant and 1853 injection moulding",0.045 
,,Wooden Pallet,material,0.475,gram,secondary,B&J Representative Andrea Asch states the wooden pallet is 50lbs  wooden pallet. Assume a allocation with Wooden pallets being used 40% of the time,6.17,kg C02e per unit,"Ecoinvent 2p0. Row 3471 - Data Set 3526 using ecoinvent 'EUR-flat pallet', RER. Unit weight is assumed to be 23 kg - http://en.wikipedia.org/wiki/EUR-pallet Difference with 48x42 is neglected. Wood harvesting impacts are included in this EF",2.929 
