LCA stage,Contribution,Contribution type,Expense,Amount per FU,contribution unit,Data type,EF,EF unit,Source & rationale,GHG [gram CO2e],,
S1 - Packaging materials,Shrink wrap,material,$0.03,0.515,gram,primary,2.66,kg C02e per kg material,"Ecoinvent2p0 Row 2620 Dataset 1854, European RER - packaging film, LDPE, at plant",1.370 ,material,plastic film
S1 - Packaging materials,Stretch wrap ,material,$0.01,0.258,gram,primary,2.66,kg C02e per kg material,"Ecoinvent2p0 Row 2620 Dataset 1854, European RER - packaging film, LDPE, at plant",0.685 ,,
S1 - Packaging materials,Containers,material,$0.02,14.008,gram,primary,0.914,kg C02e per kg material,"Ecoinvent2p0 Row 2451 Dataset 1704, European RER - solid unbleached board, SUB, at plant",12.803 ,,
S1 - Packaging materials,Lids,material,$0.01,7.725,gram,primary,0.914,kg C02e per kg material,"Ecoinvent2p0 Row 2451 Dataset 1704, European RER - solid unbleached board, SUB, at plant",7.061 ,,
S1 - Packaging materials,Tamperband,material,$0.01,1.03,gram,primary,2.66,kg C02e per kg material,"Ecoinvent2p0 Row 2620 Dataset 1854, European RER - packaging film, LDPE, at plant",2.740 ,,
S1 - Packaging materials,Slip Sheet (plastic pallet),material,$0.03,0.014,gram,primary,3.28,kg C02e per kg material,"Using Ecoinvent2p0 1834 polypropylene, granulate, at plant and 1853 injection moulding",0.045 ,,
S1 - Packaging materials,Wooden Pallet,material,$0.05,0.475,gram,secondary,6.17,kg C02e per unit,"Ecoinvent 2p0. Row 3471 - Data Set 3526 using ecoinvent 'EUR-flat pallet', RER. Unit weight is assumed to be 23 kg - http://en.wikipedia.org/wiki/EUR-pallet Difference with 48x42 is neglected. Wood harvesting impacts are included in this EF",2.929 ,,
S1 - Packaging materials,Plastic Pallet,material,$0.03,0.926,gram,secondary,2.48,kg C02e per unit,"SimaPro:(Industry data 2.0, HDPE pipes E) Assumed pallets used are made of HDPE plastic and production are similar to HDPE plastic pipes.",2.296 ,,
S1 - Packaging materials,Inks,material,$0.01,0.0258,gram,secondary,2.29,kg C02e per kg material,"Ecoinvents 2p0 Row 753  Dataset 443 using solvents, organic, unspecified at plant  GLO (Global) database as a proxy",0.059 ,,
S1 - Packaging materials,Adhesives/glues,material,$0.01,0.0258,gram,secondary,2.11,kg C02e per kg material,"Ecoinvent 2p0 Row 2579  Dataset 1818 ethylene vinyl acetate copolymer, at plant (glue)  RER (European)  as proxy",0.054 ,,
